id,latitude,longitude,price
5456,30.26057,-97.73441,111
5769,30.45697,-97.78422,39
6413,30.24885,-97.73587,66
6448,30.26034,-97.76487,149
8502,30.23466,-97.73682,44
341382,30.26543,-97.71338,750
13035,30.26098,-97.73072,160
21126,30.24417,-97.73988,207
699485,30.19411,-97.78186,400
22166,30.38794,-97.76358,155
22828,30.23614,-97.73225,60
701159,30.28065,-97.75971,225
341530,30.24746,-97.75662,109
40285,30.35123,-97.76207,350
341596,30.24623,-97.75904,141
342039,30.25158,-97.73147,145
342243,30.41633,-97.75228,45
701300,30.37102,-97.74446,1250
701392,30.2991,-97.74167,228
47572,30.37783,-97.70749,42
50318,30.28588,-97.75145,113
702474,30.2307,-97.76556,300
702825,30.23573,-97.76233,293
704589,30.24618,-97.72823,225
343462,30.26895,-97.68947,99
343889,30.27293,-97.72288,47
345221,30.27247,-97.74796,299
57187,30.25756,-97.76995,108
345473,30.24619,-97.74569,308
704738,30.25803,-97.76974,300
705858,30.24654,-97.74713,225
69303,30.26146,-97.77276,158
69810,30.2309,-97.76619,124
708582,30.26444,-97.69897,142
710276,30.24187,-97.77914,233
345536,30.2466,-97.76157,177
70258,30.23644,-97.76611,225
347572,30.26448,-97.71715,125
347654,30.23661,-97.7449,525
347847,30.27119,-97.72965,275
711149,30.39968,-97.91422,1100
70812,30.24648,-97.74913,165
347935,30.25152,-97.76212,643
349447,30.27871,-97.72332,136
72833,30.313,-97.75066,122
349635,30.29932,-97.77631,125
714922,30.24103,-97.76325,85
73005,30.41419,-97.73183,297
716119,30.33652,-97.65128,149
719298,30.26715,-97.72527,850
350072,30.24643,-97.76403,825
351865,30.33345,-97.64937,75
73289,30.29016,-97.74478,110
353126,30.2398,-97.74525,64
353261,30.24276,-97.75211,575
720315,30.24538,-97.72945,185
720369,30.29409,-97.704,219
74318,30.24473,-97.77923,118
723950,30.25267,-97.72465,135
353955,30.34574,-97.80069,225
354263,30.24821,-97.76343,150
354513,30.25884,-97.73056,630
75957,30.29033,-97.76886,119
354569,30.28885,-97.76001,248
355176,30.22187,-97.7747,110
726770,30.30147928,-97.71339255,65
76497,30.27678,-97.75805,264
727593,30.29727,-97.7892,5343
355232,30.24748,-97.74724,1000
355328,30.23928,-97.77907,100
76501,30.29192,-97.71939,121
355792,30.28097,-97.75393,97
728728,30.19554,-97.69451,50
729271,30.238,-97.76486,700
76911,30.26945,-97.72491,750
731024,30.25275,-97.72917,400
356675,30.3054,-97.76974,1050
356719,30.30571,-97.69464,300
76925,30.25505,-97.72552,400
356837,30.28184,-97.74276,428
76996,30.23872,-97.74521,85
357529,30.25478,-97.76854,192
733203,30.27221,-97.72846,771
77347,30.33877,-97.882,104
735592,30.22241581,-97.91042049,250
735659,30.32518,-97.97659,1200
735775,30.18722,-97.78813,375
358164,30.3124,-97.72007,95
358643,30.22971,-97.76695,800
362460,30.31744,-97.74547,625
363040,30.25433,-97.77582,90
363944,30.25795,-97.77202,1112
77639,30.25023,-97.77985,179
364025,30.27371,-97.75301,225
364121,30.39243,-97.92007,210
364269,30.25954,-97.76978,348
736279,30.41276,-97.72443,70
742593,30.31197,-97.72955,334
743362,30.19538,-97.69632,199
746317,30.25909,-97.77017,298
78035,30.25659,-97.76772,750
364402,30.32104,-97.71852,65
78127,30.27672,-97.74799,240
78422,30.27443,-97.71135,103
365471,30.25917,-97.73425,443
367356,30.30651,-97.72278,164
367366,30.26309,-97.68447,202
747499,30.28026,-97.75703,500
750935,30.2702,-97.72862,700
751847,30.36084,-97.72593,333
78731,30.27011,-97.72693,130
760036,30.26836,-97.74724,200
761955,30.24852,-97.78277,1000
367789,30.30549,-97.77147,2150
369090,30.25858,-97.75181,650
78831,30.31106,-97.72373,119
762400,30.27805,-97.75752,673
78884,30.26126,-97.77358,136
79100,30.30933,-97.6952,149
763084,30.29624,-97.77349,1999
381240,30.2538,-97.74359,395
79603,30.24948,-97.75896,199
383603,30.25772,-97.7252,104
765117,30.21366,-97.81559,106
79768,30.26035,-97.73253,225
765450,30.32255,-97.73869,240
406911,30.25909,-97.756,166
412290,30.23899,-97.7522,47
82033,30.30393,-97.68872,300
414543,30.295,-97.68182,237
771437,30.22437,-97.78495,100
775192,30.23746,-97.7099,265
83643,30.32395,-97.71851,67
776649,30.24369,-97.74169,3000
785963,30.24784,-97.76318,499
424279,30.241,-97.75371,153
84771,30.29386,-97.74188,81
430683,30.33875,-97.76135,695
433996,30.26139,-97.77566,137
435211,30.27241,-97.74894,82
789994,30.32713,-97.68127,125
89475,30.35681,-97.72618,366
90898,30.24498,-97.74935,174
801521,30.23457,-97.7615,106
811086,30.27485,-97.7486,260
90957,30.24574,-97.74828,84
104099,30.25433,-97.77582,104
104386,30.24645,-97.74701,150
113779,30.3027,-97.72945,126
813709,30.30263,-97.7293,102
116014,30.27521,-97.74793,259
128326,30.24395,-98.00244,295
814908,30.2545,-97.77458,1929
442720,30.29948,-97.79728,339
140474,30.30215,-97.73046,152
140504,30.30397,-97.73037,126
145210,30.30203,-97.74235,150
461404,30.3239,-97.731,105
825940,30.2402,-97.77623,74
154103,30.25103,-97.7814,446
158398,30.25288,-97.78491,699
826750,30.44262,-97.82678,299
474901,30.25174,-97.78213,599
166561,30.2415,-97.76194,299
479197,30.258,-97.75195,60
167459,30.27767,-97.79126,800
485360,30.26778,-97.72849,139
501861,30.253061,-97.745712,406
509833,30.27516,-97.75719,118
839470,30.24565,-97.77877,60
174828,30.33238,-97.71233,380
846780,30.25222,-97.7704,161
184853,30.24106,-97.77315,139
860116,30.25211,-97.77819,300
510168,30.34253,-97.8616,257
517378,30.20976,-97.81729,250
195674,30.25775,-97.76703,750
517430,30.29961,-97.73449,123
522136,30.27936,-97.74362,116
202187,30.24867,-97.74678,98
202753,30.276272,-97.757103,200
525231,30.34024,-97.73739,140
860402,30.26986,-97.7485,130
207054,30.24434,-97.73069,201
867806,30.33229,-97.74462,85
208897,30.263203,-97.699829,233
528338,30.2619,-97.76328,99
540377,30.24852,-97.74502,255
210834,30.251596,-97.742783,382
542124,30.27514,-97.71954,105
218402,30.36145,-97.64397,29
560094,30.2478,-97.786,393
577499,30.25881,-97.76377,98
870943,30.2499,-97.77982,92
878464,30.27787,-97.71919,500
879070,30.32095,-97.75126,98
219168,30.24519,-97.74486,250
222986,30.25753,-97.7313,500
883802,30.27188,-97.72466,81
883970,30.24563,-97.7484,149
587572,30.24546,-97.76627,112
224603,30.30732,-97.72782,112
592958,30.24373,-97.75394,652
890163,30.25233,-97.72403,159
227372,30.247942,-97.749763,845
890680,30.25259,-97.78249,750
602877,30.35992,-97.7331,75
603084,30.20451,-97.7971,191
233930,30.30289,-97.72961,165
238657,30.252,-97.75628,182
607536,30.30308,-97.67689,111
240541,30.25424,-97.72587,52
247770,30.30339,-97.68465,175
609427,30.24492,-97.76119,120
248515,30.25572,-97.72874,293
609618,30.29991,-97.71398,70
892124,30.24758609,-97.77107492,140
893630,30.25264,-97.72013,255
252804,30.23254,-97.75479,100
620532,30.29087,-97.71979,60
622495,30.28714,-97.75258,70
628034,30.27191,-97.71989,179
271052,30.25367,-97.77253,329
277028,30.28332,-97.76272,292
632659,30.28273,-97.71702,225
894743,30.23419,-97.75288,50
895352,30.28209,-97.70628,600
281182,30.28032,-97.70708,350
900420,30.2917,-97.70521,775
634224,30.36089,-97.76115,3000
282342,30.36774,-97.7078,86
904354,30.25878,-97.7233,879
294708,30.22484,-97.74223,201
910250,30.26227,-97.76355,157
636996,30.28264,-97.77104,101
637480,30.27808,-97.75098,190
642674,30.22072,-98.00722,125
295275,30.19037,-97.79003,191
300574,30.25525,-97.75756,138
644051,30.25084,-97.73897,618
649833,30.27508,-97.75095,899
915150,30.26582,-97.71609,300
916900,30.25526,-97.73167,425
917823,30.3614,-97.71967,98
917932,30.26584,-97.73999,356
304808,30.2733,-97.7269,67
917990,30.25455,-97.75679,120
660425,30.25278,-97.77303,143
662226,30.33529,-97.72924,160
304866,30.20943,-97.77117,89
662245,30.26869,-97.75165,493
664013,30.34998,-97.85608,82
918204,30.23656,-97.77935,178
305392,30.25688,-97.73244,628
918617,30.39562,-97.66868,164
925943,30.37784,-97.68606,400
925980,30.22547,-97.86482,5021
666423,30.24831,-97.77864,650
668239,30.24389,-97.76607,467
668301,30.24706,-97.75664,248
314152,30.35672,-97.79621,350
669469,30.27089,-97.74113,170
676107,30.15374,-97.80159,66
676959,30.15391,-97.80261,62
315239,30.21467,-97.77901,600
685361,30.2803,-97.75612,936
685451,30.21038,-97.76873,18
686463,30.25505,-97.77267,1000
687675,30.3513,-97.76011,275
692220,30.23537,-97.75171,60
316630,30.25472,-97.75562,400
929579,30.27617,-97.76189,800
319759,30.26585,-97.73328,650
929758,30.25354,-97.73406,250
693890,30.24313,-97.74225,545
319887,30.25328,-97.72968,694
931667,30.24605,-97.74351,300
319894,30.28354,-97.64966,189
698373,30.25689,-97.74658,250
699018,30.31268,-97.75381,185
321069,30.25398,-97.77856,732
959270,30.25575,-97.76767,134
932231,30.27887,-97.75649,279
321675,30.25104,-97.78973,500
322834,30.26849,-97.71874,240
933868,30.24285,-97.7388,300
959630,30.25473,-97.76774,150
323733,30.26843,-97.74548,178
960315,30.32398,-97.7161,392
960376,30.27298,-97.71074,49
961883,30.26977,-97.74297,160
934074,30.3019,-97.72821,120
934471,30.27438,-97.74925,148
324480,30.29905,-97.73881,89
935855,30.24889,-97.76185,375
325889,30.24583,-97.75472,728
936349,30.45601,-97.7552,120
967451,30.26269,-97.77509,100
968817,30.20901,-97.76891,18
329172,30.30085,-97.80794,495
968844,30.254005,-97.726784,250
968883,30.24467,-97.73792,178
937157,30.24509,-97.73328,191
329306,30.27232,-97.72579,68
331549,30.23911,-97.58625,100
939240,30.32034,-97.72185,165
333442,30.31267,-97.76641,352
974793,30.25659,-97.75431,99
333815,30.25381,-97.75262,102
975093,30.24414,-97.74839,96
977492,30.25344,-97.72421,117
942734,30.27889,-97.76001,1000
334616,30.24481,-97.72379,250
942843,30.38216,-97.67033,225
335945,30.24026,-97.73338,190
942883,30.29738,-97.73494,99
977906,30.2989,-97.73169,115
978089,30.28573,-97.72013,200
337125,30.42035,-97.76685,80
978566,30.23074,-97.76497,260
340045,30.25937,-97.79249,400
340630,30.33061,-97.72531,50
1720604,30.2684,-97.80208,528
980785,30.28408,-97.74417,350
985426,30.27498,-97.704,77
943528,30.26528,-97.74062,200
1725159,30.24124,-97.77896,110
944957,30.28004,-97.79968,520
946813,30.31371,-97.69227,399
996332,30.25084,-97.75562,96
999823,30.24689,-97.75171,124
